iib_code,eq_zone,eq_rate
1001,Zone I,0.25
1001_2,Zone I,0.25
1002,Zone I,0.25
1003,Zone I,0.25
1004,Zone I,0.25
1005,Zone I,0.25
1006,Zone I,0.25
1007,Zone I,0.25
1008,Zone I,0.25
1009,Zone I,0.25
1010,Zone I,0.25
1011,Zone I,0.25
1012,Zone I,0.25
1013,Zone I,0.25
1014,Zone I,0.25
1015,Zone I,0.25
1016,Zone I,0.25
1029,Zone I,0.25
1017,Zone I,0.25
1018,Zone I,0.25
1019,Zone I,0.25
1020,Zone I,0.25
1021,Zone I,0.25
1022,Zone I,0.25
1023,Zone I,0.25
1024,Zone I,0.25
1025,Zone I,0.25
1026,Zone I,0.25
1027,Zone I,0.25
1028,Zone I,0.25
2001,Zone I,0.5
2002,Zone I,0.5
2003,Zone I,0.5
2004,Zone I,0.5
2005,Zone I,0.5
2006,Zone I,0.5
2007,Zone I,0.5
2008,Zone I,0.5
2009,Zone I,0.5
2010,Zone I,0.5
2011,Zone I,0.5
2012,Zone I,0.5
2013,Zone I,0.5
2212,Zone I,0.5
2014,Zone I,0.5
2015,Zone I,0.5
2016,Zone I,0.5
2017,Zone I,0.5
2018,Zone I,0.5
2019,Zone I,0.5
2020,Zone I,0.5
2021,Zone I,0.5
2022,Zone I,0.5
2023,Zone I,0.5
2024,Zone I,0.5
2025,Zone I,0.5
2026,Zone I,0.5
2027,Zone I,0.5
2028,Zone I,0.5
2029,Zone I,0.5
2030,Zone I,0.5
2031,Zone I,0.5
2032,Zone I,0.5
2033,Zone I,0.5
2034,Zone I,0.5
2035,Zone I,0.5
2036,Zone I,0.5
2037,Zone I,0.5
2038,Zone I,0.5
2039,Zone I,0.5
2040,Zone I,0.5
2041,Zone I,0.5
2042,Zone I,0.5
2043,Zone I,0.5
2044,Zone I,0.5
2045,Zone I,0.5
2046,Zone I,0.5
2047,Zone I,0.5
2048,Zone I,0.5
2049,Zone I,0.5
2050,Zone I,0.5
2051,Zone I,0.5
2229,Zone I,0.5
2230,Zone I,0.5
2052,Zone I,0.5
2053,Zone I,0.5
2054,Zone I,0.5
2055,Zone I,0.5
2213,Zone I,0.5
2056,Zone I,0.5
2057,Zone I,0.5
2058,Zone I,0.5
2059,Zone I,0.5
2060,Zone I,0.5
2061,Zone I,0.5
2209,Zone I,0.5
2062,Zone I,0.5
2063,Zone I,0.5
2064,Zone I,0.5
2065,Zone I,0.5
2066,Zone I,0.5
2067,Zone I,0.5
2068,Zone I,0.5
2069,Zone I,0.5
2070,Zone I,0.5
2210,Zone I,0.5
2220,Zone I,0.5
2217,Zone I,0.5
2218,Zone I,0.5
2219,Zone I,0.5
2221,Zone I,0.5
2071,Zone I,0.5
2072,Zone I,0.5
2073,Zone I,0.5
2074,Zone I,0.5
2075,Zone I,0.5
2222,Zone I,0.5
2223,Zone I,0.5
2224,Zone I,0.5
2225,Zone I,0.5
2226,Zone I,0.5
2227,Zone I,0.5
2076,Zone I,0.5
2228,Zone I,0.5
2077,Zone I,0.5
2078,Zone I,0.5
2079,Zone I,0.5
2080,Zone I,0.5
2081,Zone I,0.5
2082,Zone I,0.5
2083,Zone I,0.5
2084,Zone I,0.5
2085,Zone I,0.5
2086,Zone I,0.5
2087,Zone I,0.5
2088,Zone I,0.5
2089,Zone I,0.5
2090,Zone I,0.5
2091,Zone I,0.5
2092,Zone I,0.5
2093,Zone I,0.5
2094,Zone I,0.5
2095,Zone I,0.5
2096,Zone I,0.5
2097,Zone I,0.5
2098,Zone I,0.5
2099,Zone I,0.5
2100,Zone I,0.5
2101,Zone I,0.5
2102,Zone I,0.5
2103,Zone I,0.5
2104,Zone I,0.5
2105,Zone I,0.5
2106,Zone I,0.5
2107,Zone I,0.5
2108,Zone I,0.5
2109,Zone I,0.5
2110,Zone I,0.5
2111,Zone I,0.5
2112,Zone I,0.5
2113,Zone I,0.5
2114,Zone I,0.5
2115,Zone I,0.5
2116,Zone I,0.5
2117,Zone I,0.5
2118,Zone I,0.5
2119,Zone I,0.5
2120,Zone I,0.5
2121,Zone I,0.5
2122,Zone I,0.5
2123,Zone I,0.5
2124,Zone I,0.5
2125,Zone I,0.5
2126,Zone I,0.5
2127,Zone I,0.5
2128,Zone I,0.5
2129,Zone I,0.5
2130,Zone I,0.5
2131,Zone I,0.5
2132,Zone I,0.5
2214,Zone I,0.5
2133,Zone I,0.5
2134,Zone I,0.5
2135,Zone I,0.5
2136,Zone I,0.5
2137,Zone I,0.5
2138,Zone I,0.5
2139,Zone I,0.5
2140,Zone I,0.5
2141,Zone I,0.5
2142,Zone I,0.5
2143,Zone I,0.5
2144,Zone I,0.5
2231,Zone I,0.5
2145,Zone I,0.5
2146,Zone I,0.5
2147,Zone I,0.5
2148,Zone I,0.5
2216,Zone I,0.5
2149,Zone I,0.5
2150,Zone I,0.5
2151,Zone I,0.5
2152,Zone I,0.5
2153,Zone I,0.5
2154,Zone I,0.5
2155,Zone I,0.5
2156,Zone I,0.5
2157,Zone I,0.5
2158,Zone I,0.5
2159,Zone I,0.5
2160,Zone I,0.5
2161,Zone I,0.5
2162,Zone I,0.5
2163,Zone I,0.5
2232,Zone I,0.5
2164,Zone I,0.5
2165,Zone I,0.5
2166,Zone I,0.5
2167,Zone I,0.5
2168,Zone I,0.5
2169,Zone I,0.5
2170,Zone I,0.5
2171,Zone I,0.5
2172,Zone I,0.5
2173,Zone I,0.5
2174,Zone I,0.5
2175,Zone I,0.5
2176,Zone I,0.5
2177,Zone I,0.5
2178,Zone I,0.5
2180,Zone I,0.5
2181,Zone I,0.5
2183,Zone I,0.5
2184,Zone I,0.5
2185,Zone I,0.5
2186,Zone I,0.5
2187,Zone I,0.5
2188,Zone I,0.5
2189,Zone I,0.5
2211,Zone I,0.5
2190,Zone I,0.5
2191,Zone I,0.5
2192,Zone I,0.5
2193,Zone I,0.5
2194,Zone I,0.5
2195,Zone I,0.5
2196,Zone I,0.5
2197,Zone I,0.5
2198,Zone I,0.5
2199,Zone I,0.5
2200,Zone I,0.5
2201,Zone I,0.5
2202,Zone I,0.5
2203,Zone I,0.5
2204,Zone I,0.5
2205,Zone I,0.5
2206,Zone I,0.5
2207,Zone I,0.5
2208,Zone I,0.5
4900,Zone I,0.5
3001,Zone I,0.5
3002,Zone I,0.5
3003,Zone I,0.5
3004,Zone I,0.5
3005,Zone I,0.5
3006,Zone I,0.5
3007,Zone I,0.5
3008,Zone I,0.5
3009,Zone I,0.5
3010,Zone I,0.5
3011,Zone I,0.5
3012,Zone I,0.5
3013,Zone I,0.5
3014,Zone I,0.5
3015,Zone I,0.5
3016,Zone I,0.5
3017,Zone I,0.5
3018,Zone I,0.5
3019,Zone I,0.5
4001,Zone I,0.5
4012,Zone I,0.5
4002,Zone I,0.5
4013,Zone I,0.5
4019,Zone I,0.5
4003,Zone I,0.5
4014,Zone I,0.5
4018,Zone I,0.5
4004,Zone I,0.5
4015,Zone I,0.5
4005,Zone I,0.5
4016,Zone I,0.5
4006,Zone I,0.5
4017,Zone I,0.5
4007,Zone I,0.5
4008,Zone I,0.5
4009,Zone I,0.5
4010,Zone I,0.5
4011,Zone I,0.5
1001,Zone II,0.15
1001_2,Zone II,0.15
1002,Zone II,0.15
1003,Zone II,0.15
1004,Zone II,0.15
1005,Zone II,0.15
1006,Zone II,0.15
1007,Zone II,0.15
1008,Zone II,0.15
1009,Zone II,0.15
1010,Zone II,0.15
1011,Zone II,0.15
1012,Zone II,0.15
1013,Zone II,0.15
1014,Zone II,0.15
1015,Zone II,0.15
1016,Zone II,0.15
1029,Zone II,0.15
1017,Zone II,0.15
1018,Zone II,0.15
1019,Zone II,0.15
1020,Zone II,0.15
1021,Zone II,0.15
1022,Zone II,0.15
1023,Zone II,0.15
1024,Zone II,0.15
1025,Zone II,0.15
1026,Zone II,0.15
1027,Zone II,0.15
1028,Zone II,0.15
2001,Zone II,0.25
2002,Zone II,0.25
2003,Zone II,0.25
2004,Zone II,0.25
2005,Zone II,0.25
2006,Zone II,0.25
2007,Zone II,0.25
2008,Zone II,0.25
2009,Zone II,0.25
2010,Zone II,0.25
2011,Zone II,0.25
2012,Zone II,0.25
2013,Zone II,0.25
2212,Zone II,0.25
2014,Zone II,0.25
2015,Zone II,0.25
2016,Zone II,0.25
2017,Zone II,0.25
2018,Zone II,0.25
2019,Zone II,0.25
2020,Zone II,0.25
2021,Zone II,0.25
2022,Zone II,0.25
2023,Zone II,0.25
2024,Zone II,0.25
2025,Zone II,0.25
2026,Zone II,0.25
2027,Zone II,0.25
2028,Zone II,0.25
2029,Zone II,0.25
2030,Zone II,0.25
2031,Zone II,0.25
2032,Zone II,0.25
2033,Zone II,0.25
2034,Zone II,0.25
2035,Zone II,0.25
2036,Zone II,0.25
2037,Zone II,0.25
2038,Zone II,0.25
2039,Zone II,0.25
2040,Zone II,0.25
2041,Zone II,0.25
2042,Zone II,0.25
2043,Zone II,0.25
2044,Zone II,0.25
2045,Zone II,0.25
2046,Zone II,0.25
2047,Zone II,0.25
2048,Zone II,0.25
2049,Zone II,0.25
2050,Zone II,0.25
2051,Zone II,0.25
2229,Zone II,0.25
2230,Zone II,0.25
2052,Zone II,0.25
2053,Zone II,0.25
2054,Zone II,0.25
2055,Zone II,0.25
2213,Zone II,0.25
2056,Zone II,0.25
2057,Zone II,0.25
2058,Zone II,0.25
2059,Zone II,0.25
2060,Zone II,0.25
2061,Zone II,0.25
2209,Zone II,0.25
2062,Zone II,0.25
2063,Zone II,0.25
2064,Zone II,0.25
2065,Zone II,0.25
2066,Zone II,0.25
2067,Zone II,0.25
2068,Zone II,0.25
2069,Zone II,0.25
2070,Zone II,0.25
2210,Zone II,0.25
2220,Zone II,0.25
2217,Zone II,0.25
2218,Zone II,0.25
2219,Zone II,0.25
2221,Zone II,0.25
2071,Zone II,0.25
2072,Zone II,0.25
2073,Zone II,0.25
2074,Zone II,0.25
2075,Zone II,0.25
2222,Zone II,0.25
2223,Zone II,0.25
2224,Zone II,0.25
2225,Zone II,0.25
2226,Zone II,0.25
2227,Zone II,0.25
2076,Zone II,0.25
2228,Zone II,0.25
2077,Zone II,0.25
2078,Zone II,0.25
2079,Zone II,0.25
2080,Zone II,0.25
2081,Zone II,0.25
2082,Zone II,0.25
2083,Zone II,0.25
2084,Zone II,0.25
2085,Zone II,0.25
2086,Zone II,0.25
2087,Zone II,0.25
2088,Zone II,0.25
2089,Zone II,0.25
2090,Zone II,0.25
2091,Zone II,0.25
2092,Zone II,0.25
2093,Zone II,0.25
2094,Zone II,0.25
2095,Zone II,0.25
2096,Zone II,0.25
2097,Zone II,0.25
2098,Zone II,0.25
2099,Zone II,0.25
2100,Zone II,0.25
2101,Zone II,0.25
2102,Zone II,0.25
2103,Zone II,0.25
2104,Zone II,0.25
2105,Zone II,0.25
2106,Zone II,0.25
2107,Zone II,0.25
2108,Zone II,0.25
2109,Zone II,0.25
2110,Zone II,0.25
2111,Zone II,0.25
2112,Zone II,0.25
2113,Zone II,0.25
2114,Zone II,0.25
2115,Zone II,0.25
2116,Zone II,0.25
2117,Zone II,0.25
2118,Zone II,0.25
2119,Zone II,0.25
2120,Zone II,0.25
2121,Zone II,0.25
2122,Zone II,0.25
2123,Zone II,0.25
2124,Zone II,0.25
2125,Zone II,0.25
2126,Zone II,0.25
2127,Zone II,0.25
2128,Zone II,0.25
2129,Zone II,0.25
2130,Zone II,0.25
2131,Zone II,0.25
2132,Zone II,0.25
2214,Zone II,0.25
2133,Zone II,0.25
2134,Zone II,0.25
2135,Zone II,0.25
2136,Zone II,0.25
2137,Zone II,0.25
2138,Zone II,0.25
2139,Zone II,0.25
2140,Zone II,0.25
2141,Zone II,0.25
2142,Zone II,0.25
2143,Zone II,0.25
2144,Zone II,0.25
2231,Zone II,0.25
2145,Zone II,0.25
2146,Zone II,0.25
2147,Zone II,0.25
2148,Zone II,0.25
2216,Zone II,0.25
2149,Zone II,0.25
2150,Zone II,0.25
2151,Zone II,0.25
2152,Zone II,0.25
2153,Zone II,0.25
2154,Zone II,0.25
2155,Zone II,0.25
2156,Zone II,0.25
2157,Zone II,0.25
2158,Zone II,0.25
2159,Zone II,0.25
2160,Zone II,0.25
2161,Zone II,0.25
2162,Zone II,0.25
2163,Zone II,0.25
2232,Zone II,0.25
2164,Zone II,0.25
2165,Zone II,0.25
2166,Zone II,0.25
2167,Zone II,0.25
2168,Zone II,0.25
2169,Zone II,0.25
2170,Zone II,0.25
2171,Zone II,0.25
2172,Zone II,0.25
2173,Zone II,0.25
2174,Zone II,0.25
2175,Zone II,0.25
2176,Zone II,0.25
2177,Zone II,0.25
2178,Zone II,0.25
2180,Zone II,0.25
2181,Zone II,0.25
2183,Zone II,0.25
2184,Zone II,0.25
2185,Zone II,0.25
2186,Zone II,0.25
2187,Zone II,0.25
2188,Zone II,0.25
2189,Zone II,0.25
2211,Zone II,0.25
2190,Zone II,0.25
2191,Zone II,0.25
2192,Zone II,0.25
2193,Zone II,0.25
2194,Zone II,0.25
2195,Zone II,0.25
2196,Zone II,0.25
2197,Zone II,0.25
2198,Zone II,0.25
2199,Zone II,0.25
2200,Zone II,0.25
2201,Zone II,0.25
2202,Zone II,0.25
2203,Zone II,0.25
2204,Zone II,0.25
2205,Zone II,0.25
2206,Zone II,0.25
2207,Zone II,0.25
2208,Zone II,0.25
4900,Zone II,0.25
3001,Zone II,0.25
3002,Zone II,0.25
3003,Zone II,0.25
3004,Zone II,0.25
3005,Zone II,0.25
3006,Zone II,0.25
3007,Zone II,0.25
3008,Zone II,0.25
3009,Zone II,0.25
3010,Zone II,0.25
3011,Zone II,0.25
3012,Zone II,0.25
3013,Zone II,0.25
3014,Zone II,0.25
3015,Zone II,0.25
3016,Zone II,0.25
3017,Zone II,0.25
3018,Zone II,0.25
3019,Zone II,0.25
4001,Zone II,0.25
4012,Zone II,0.25
4002,Zone II,0.25
4013,Zone II,0.25
4019,Zone II,0.25
4003,Zone II,0.25
4014,Zone II,0.25
4018,Zone II,0.25
4004,Zone II,0.25
4015,Zone II,0.25
4005,Zone II,0.25
4016,Zone II,0.25
4006,Zone II,0.25
4017,Zone II,0.25
4007,Zone II,0.25
4008,Zone II,0.25
4009,Zone II,0.25
4010,Zone II,0.25
4011,Zone II,0.25
1001,Zone III,0.1
1001_2,Zone III,0.1
1002,Zone III,0.1
1003,Zone III,0.1
1004,Zone III,0.1
1005,Zone III,0.1
1006,Zone III,0.1
1007,Zone III,0.1
1008,Zone III,0.1
1009,Zone III,0.1
1010,Zone III,0.1
1011,Zone III,0.1
1012,Zone III,0.1
1013,Zone III,0.1
